region_number,name ,group_number
1,Central Alaska,1
2,Southern Alaska,1
3,Bering Sea,1
4,Komandorsky Islands Region,1
5,"Near Islands, Aleutian Islands",1
6,"Rat Islands, Aleutian Islands",1
7,"Andreanof Islands, Aleutian Islands",1
8,"Pribilof Islands, Alaska Region",1
9,"Fox Islands, Aleutian Islands",1
10,"Unimak Island Region, Alaska",1
11,Bristol Bay,1
12,Alaska Peninsula,1
13,"Kodiak Island Region, Alaska",1
14,"Kenai Peninsula, Alaska",1
15,Gulf of Alaska,1
16,South of Aleutian Islands,1
17,South of Alaska,1
18,"Southern Yukon Territory, Canada",2
19,Southeastern Alaska,2
20,Off Coast of Southeastern Alaska,2
21,West of Vancouver Island,2
22,Queen Charlotte Islands Region,2
23,"British Columbia, Canada",2
24,"Alberta, Canada",2
25,"Vancouver Island, Canada Region",2
26,Off Coast of Washington,2
27,Near Coast of Washington,2
28,Washington–Oregon Border Region,2
29,Washington,2
30,Off Coast of Oregon,3
31,Near Coast of Oregon,3
32,Oregon,3
33,Western Idaho,3
34,Off Coast of Northern California,3
35,Near Coast of Northern California,3
36,Northern California,3
37,Nevada,3
38,Off Coast of California,3
39,Central California,3
40,California–Nevada Border Region,3
41,Southern Nevada,3
42,Western Arizona,3
43,Southern California,3
44,California–Arizona Border Region,3
45,California–Baja California Border Region,3
46,Western Arizona–Sonora Border Region,3
47,Off Western Coast of Baja California,4
48,"Baja California, Mexico",4
49,Gulf of California,4
50,"Sonora, Mexico",4
51,Off Coast of Central Mexico,4
52,Near Coast of Central Mexico,4
53,Revilla Gigedo Islands Region,5
54,"Off Coast of Jalisco, Mexico",5
55,"Near Coast of Jalisco, Mexico",5
56,"Near Coast of Michoacan, Mexico",5
57,"Michoacan, Mexico",5
58,"Near Coast of Guerrero, Mexico",5
59,"Guerrero, Mexico",5
60,"Oaxaca, Mexico",5
61,"Chiapas, Mexico",5
62,Mexico–Guatemala Border Region,5
63,Off Coast of Mexico,5
64,"Off Coast of Michoacan, Mexico",5
65,"Off Coast of Guerrero, Mexico",5
66,"Near Coast of Oaxaca, Mexico",5
67,"Off Coast of Oaxaca, Mexico",5
68,"Off Coast of Chiapas, Mexico",5
69,"Near Coast of Chiapas, Mexico",5
70,Guatemala,5
71,Near Coast of Guatemala,5
730,Northern East Pacific Rise,5
72,Honduras,6
73,El Salvador,6
74,Near Coast of Nicaragua,6
75,Nicaragua,6
76,Off Coast of Central America,6
77,Off Coast of Costa Rica,6
78,Costa Rica,6
79,North of Panama,6
80,Panama–Costa Rica Border Region,6
81,Panama,6
82,Panama–Colombia Border Region,6
83,South of Panama,6
84,"Yucatán Peninsula, Mexico",7
85,Cuba Region,7
86,Jamaica Region,7
87,Haiti Region,7
88,Dominican Republic Region,7
89,Mona Passage,7
90,Puerto Rico Region,7
91,Virgin Islands,7
92,Leeward Islands,7
93,Belize,7
94,Caribbean Sea,7
95,Windward Islands,7
96,Near North Coast of Colombia,7
97,Near Coast of Venezuela,7
98,Trinidad,7
99,Northern Colombia,7
100,"Lake Maracaibo, Venezuela",7
101,Venezuela,7
731,North of Honduras,7
102,Near West Coast of Colombia,8
103,Colombia,8
104,Off Coast of Ecuador,8
105,Near Coast of Ecuador,8
106,Colombia–Ecuador Border Region,8
107,Ecuador,8
108,Off Coast of Northern Peru,8
109,Near Coast of Northern Peru,8
110,Peru–Ecuador Border Region,8
111,Northern Peru,8
112,Peru–Brazil Border Region,8
113,Western Brazil,8
114,Off Coast of Peru,8
115,Near Coast of Peru,8
116,Central Peru,8
117,Southern Peru,8
118,Peru–Bolivia Border Region,8
119,Northern Bolivia,8
120,Central Bolivia,8
121,Off Coast of Northern Chile,8
122,Near Coast of Northern Chile,8
123,Northern Chile,8
124,Chile–Bolivia Border Region,8
125,Southern Bolivia,8
126,Paraguay,8
127,Chile–Argentina Border Region,8
128,"Jujuy Province, Argentina",8
129,"Salta Province, Argentina",8
130,"Catamarca Province, Argentina",8
131,"Tucuman Province, Argentina",8
132,"Santiago Del Estero Province, Argentina",8
133,Northeastern Argentina,8
134,Off Coast of Central Chile,8
135,Near Coast of Central Chile,8
136,Central Chile,8
137,"San Juan Province, Argentina",8
138,"La Rioja Province, Argentina",8
139,"Mendoza Province, Argentina",8
140,"San Luis Province, Argentina",8
141,"Cordoba Province, Argentina",8
142,Uruguay,8
143,Off Coast of Southern Chile,9
144,Southern Chile,9
145,Southern Chile–Argentina Border Region,9
146,Southern Argentina,9
147,Tierra Del Fuego,10
148,Falkland Islands Region,10
149,Drake Passage,10
150,Scotia Sea,10
151,South Georgia Island Region,10
152,South Georgia Rise,10
153,South Sandwich Islands Region,10
154,South Shetland Islands,10
155,Antarctic Peninsula,10
156,Southwestern Atlantic Ocean,10
157,Weddell Sea,10
732,East of South Sandwich Islands,10
158,"Off West Coast of North Island, New Zealand",11
159,"North Island, New Zealand",11
160,"Off East Coast of North Island, New Zealand",11
161,"Off West Coast of South Island, New Zealand",11
162,"South Island, New Zealand",11
163,"Cook Strait, New Zealand",11
164,"Off East Coast of South Island, New Zealand",11
165,North of Macquarie Island,11
166,"Auckland Islands, New Zealand Region",11
167,Macquarie Island Region,11
168,South of New Zealand,11
169,Samoa Islands Region,12
170,Samoa Islands,12
171,South of Fiji Islands,12
172,West of Tonga Islands,12
173,Tonga Islands,12
174,Tonga Islands Region,12
175,South of Tonga Islands,12
176,North of New Zealand,12
177,Kermadec Islands Region,12
178,"Kermadec Islands, New Zealand",12
179,South of Kermadec Islands,12
180,North of Fiji Islands,13
181,Fiji Islands Region,13
182,Fiji Islands,13
183,Santa Cruz Islands Region,14
184,Santa Cruz Islands,14
185,Vanuatu Islands Region,14
186,Vanuatu Islands,14
187,New Caledonia,14
188,Loyalty Islands,14
189,Southeast of Loyalty Islands,14
190,"New Ireland Region, Papua New Guinea",15
191,North of Solomon Islands,15
192,"New Britain Region, Papua New Guinea",15
193,Solomon Islands,15
194,D'Entrecasteaux Islands Region,15
195,South of Solomon Islands,15
196,"Irian Jaya Region, Indonesia",16
197,Near North Coast of Irian Jaya,16
198,"Ninigo Islands Region, Papua New Guinea",16
199,"Admiralty Islands Region, Papua New Guinea",16
200,"Near North Coast of New Guinea, Papua New Guinea",16
201,"Irian Jaya, Indonesia",16
202,"New Guinea, Papua New Guinea",16
203,Bismarck Sea,16
204,"Aru Islands Region, Indonesia",16
205,Near South Coast of Irian Jaya,16
206,"Near South Coast of New Guinea, Papua New Guinea",16
207,"Eastern New Guinea Region, Papua New Guinea",16
